FluorCam10 Numeric Export File
-----------------------------------
 	A01	B01	D01	E01	A02	B02	C02	D02	E02	A03	B03	D03	E03	A04	B04	C04	D04	E04	A05	B05	C05	D05	E05	A06	B06	C06	D06	E06	A07	B07	C07	D07	E07	A08	B08	D08	A09	B09	C09	D09	E09	A10	B10	C10	D10	E10	A11	B11	C11	D11	E11	A12	B12	C12	D12	E12
QY_L2	0.81	0.8	0.8	0.78	0.81	0.63	0.82	0.8	0.81	0.79	0.79	0.81	0.8	0.79	0.79	0.81	0.8	0.78	0.78	0.79	0.78	0.8	0.79	0.79	0.79	0.78	0.81	0.76	0.79	0.79	0.81	0.78	0.78	0.8	0.78	0.8	0.79	0.8	0.8	0.75	0.8	0.79	0.8	0.81	0.79	0.77	0.79	0.81	0.81	0.78	0.79	0.79	0.81	0.82	0.79	0.78
QY_L3	0.8	0.81	0.8	0.79	0.81	0.53	0.81	0.8	0.81	0.79	0.79	0.8	0.79	0.79	0.79	0.81	0.8	0.78	0.78	0.79	0.78	0.8	0.78	0.8	0.79	0.8	0.8	0.76	0.8	0.81	0.81	0.78	0.79	0.8	0.78	0.8	0.78	0.79	0.81	0.76	0.8	0.79	0.8	0.81	0.79	0.76	0.79	0.81	0.8	0.78	0.79	0.8	0.8	0.81	0.8	0.79
QY_L4	0.81	0.8	0.8	0.79	0.81	0.64	0.81	0.8	0.81	0.78	0.79	0.8	0.79	0.78	0.78	0.81	0.79	0.78	0.78	0.79	0.78	0.8	0.78	0.79	0.79	0.8	0.8	0.75	0.78	0.8	0.81	0.78	0.78	0.79	0.78	0.79	0.79	0.79	0.81	0.76	0.8	0.79	0.8	0.8	0.8	0.77	0.78	0.8	0.8	0.78	0.79	0.79	0.8	0.82	0.8	0.78
NPQ_L1	0.02	0.04	-0.01	0.01	0.04	0.67	0.02	0.01	0	0.02	-0.01	0	0.02	0.03	0	0.02	0.01	-0.02	0.01	0	0.01	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0	0.02	0.02	0.01	0.07	0.01	0.02	0.01	-0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.04	0.01
NPQ_L2	0.03	0.04	-0.01	0.02	0.05	12.43	0.02	0.02	0.01	0.03	-0.01	0	0.02	0.05	-0.01	0.02	0.02	-0.01	0.02	0.01	0.01	0.04	0.01	0.03	0.03	0.01	0.04	0.91	0.02	0.02	0.03	0.02	0.02	0.03	0.01	0.03	0.02	0.01	0.02	0.03	0.03	0.09	0.01	0.02	0.02	-0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.06	0.01
NPQ_L3	0.03	0.04	-0.01	0.01	0.05	11.88	0.01	0.03	0.01	0.04	0	0.01	0.02	0.04	-0.01	0.02	0.03	-0.02	0.02	0	0.01	0.05	0	0.04	0.03	0	0.04	0.93	0.03	0.03	0.02	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.02	0.04	0.02	0.11	0.01	0.02	0.02	0	0.01	0.01	0.02	0.02	0.01	0.03	0.03	0.01	0.05	0.01
NPQ_L4	0.03	0.04	-0.01	0.01	0.05	11.17	0.02	0.02	0	0.04	0	0.01	0.03	0.04	-0.01	0.02	0.03	-0.01	0.02	0.01	0.02	0.06	0.02	0.03	0.03	0.02	0.04	0.81	0.04	0.04	0.03	0.02	0.03	0.03	0.02	0.04	0.03	0.03	0.02	0.05	0.02	0.12	0.02	0.03	0.02	0	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.06	0.01
Y_NPQ_L1	0	0.01	0	0	0.01	0.05	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0
Y_NPQ_L2	0.01	0.01	0	0	0.01	0.27	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0.01	0.07	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0
Y_NPQ_L3	0	0.01	0	0	0.01	0.38	0	0.01	0	0.01	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0.01	0	0.01	0.07	0	0.01	0	0.01	0.01	0.01	0.01	0	0	0.01	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0
